rest,type,address,address_info,number,site,info,img_url,Mon,Tue,Wen,Thu,Fri,Sat,Sun,lat,lng
불가마떡볶이,떡볶이,경남 진주시 가호로44번길 5,찾아가는길대동아파트 정문 옆 사거리쪽에 있습니다.,055-920-6240,,"예약, 반려동물 동반, 포장, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190322_39%2F1553237921933o6Yjr_JPEG%2F9veXqwdefWvPTyMeQzsW53Yx.jpg,월11:00 - 23:00,화정기휴무 (매주 화요일),수11:00 - 23:00,목11:00 - 23:00,금11:00 - 23:00,토11:00 - 23:00,일11:00 - 23:00,35.1633515,128.1113954
세진수산회 가호점,생선회,경남 진주시 가호로44번길 3 세진수산회 가호점,찾아가는길메트로정형외과의원 사거리 가좌주공아파트 입구 건너편 씨유 편의점 옆에 바로 위치하고 있습니다. (구 포크두개치킨 가게),055-761-1666,,"주차, 포장, 배달, 예약, 남/녀 화장실 구분, 단체 이용 가능, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211214_69%2F16394622192487rVxm_JPEG%2Fsejin1.jpg,매일10:00 - 24:00,,,,,,,35.1635821,128.1116369
가장맛있는족발 진주호탄점,"족발,보쌈",경남 진주시 가호로 48 가동 1층,"찾아가는길메트로 정형외과, 남부어린이 도서관 사거리에 위치해있습니다.",0507-1334-7991,,"단체 이용 가능, 무선 인터넷, 예약, 배달, 포장, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240130_159%2F1706585219367RJccI_JPEG%2F1._%25C1%25B7%25B9%25DF.jpg,월(3/3)정기휴무 (격주 월요일),"화16:00 - 24:00
23:30 라스트오더","수16:00 - 24:00
23:30 라스트오더","목16:00 - 24:00
23:30 라스트오더","금16:00 - 24:00
23:30 라스트오더","토16:00 - 24:00
23:30 라스트오더","일16:00 - 24:00
23:30 라스트오더",35.1636486,128.1115437
달곰김밥 호탄점,김밥,경남 진주시 가호로 48 1층,찾아가는길메트로사거리 cu편의점 옆,055-752-0909,,"예약, 포장, 남/녀 화장실 구분, 배달, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190830_148%2F1567150765145Rxjb1_JPEG%2FK3L5s2JUWCTxdNKfBxhXmh44.jpg,월07:30 - 20:30,화07:30 - 20:30,수07:30 - 20:30,목07:30 - 20:30,금07:30 - 20:30,토07:30 - 20:30,일07:30 - 20:30,35.1636486,128.1115437
팔호통닭 호탄점,"치킨,닭강정",경남 진주시 가호로 48 팔호통닭호탄점,"찾아가는길**가좌 주공아파트 사거리 CU편의점, 파리바게트 중간지점 **대동아파트, 삼성아파트 정류장 도보 1분 거리내용 더보기",055-761-2377,,"단체 이용 가능, 포장, 배달, 예약, 남/녀 화장실 구분, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220630_44%2F16565845532697G8TV_JPEG%2FD967468A-EA0D-4EC9-A0C0-639FBE279761.jpeg,월16:30 - 23:00,화정기휴무 (매주 화요일),수16:30 - 23:00,목16:30 - 23:00,금16:30 - 23:00,토16:30 - 23:00,일16:30 - 23:00,35.1635922,128.1115117
백세돼지국밥,국밥,경남 진주시 가호로 52,,0507-1359-6895,https://blog.naver.com/baegse100,"배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 포장",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230906_27%2F1693992949004CxuiT_JPEG%2F%25B1%25B9%25B9%25E4.jpg,매일09:00 - 24:00,,,,,,,35.1636755,128.1119968
찾고있는고기집,한식,경남 진주시 가호로 54,,055-761-7999,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200611_244%2F15918416312723OAD9_JPEG%2FqG0SHrI9HS3ivNYJNJ6MfmpW.jpg,매일16:00 - 23:00,,,,,,,35.1637313,128.1122138
오븐에꾸운닭 호탄점,"치킨,닭강정",경남 진주시 가호로 56,,055-762-5992,http://www.okkudak.co.kr/,"포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220608_75%2F165465399457928Ep3_JPEG%2F%25BF%25C0%25B2%25D9%25B4%25DF-%25BA%25EA%25B7%25A3%25B5%25E5%25B0%25FC-%25B7%25CE%25B0%25ED.jpg,매일17:00 - 24:00,,,,,,,35.163768,128.1123626
뱃사람칼국수와수제비,"칼국수,만두",경남 진주시 가호로62번길 6,,055-752-5177,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160928_33%2F1475053351088Ilu1t_JPEG%2F176878583250449_0.jpeg,매일10:00 - 21:00,,,,,,,35.1635888,128.1127722
명륜진사갈비 진주호탄점,"육류,고기요리",경남 진주시 가호로 63 1층,찾아가는길1[찾아오시는길] 대경빌라트 아파트에서 도보 1분 거리내용 더보기,055-763-2634,https://blog.naver.com/jinsafd,"단체 이용 가능, 예약, 유아시설 (놀이방), 유아의자, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230113_107%2F1673587239022aPg7S_JPEG%2FKakaoTalk_20230111_151312815.jpg,월(3/3)대체공휴일(삼일절)12:00 - 22:30,화정기휴무 (매주 화요일),"수12:00 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더","목12:00 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더","금12:00 - 22:30
15:00 - 17:00 브레이크타임
21:30 라스트오더","토12:00 - 22:30
21:30 라스트오더","일12:00 - 22:30
21:30 라스트오더",35.1642753,128.1130308
송도갈비살,소고기구이,경남 진주시 가호로 68,찾아가는길호탄동 우리슈퍼 사거리 가호주유소 옆입니다. 내비게이션에 호탄동 송도갈비살로 검색하시면 됩니다. 넓은 주차장 완비로 주차 걱정 없이 방문하셔도 됩니다:)내용 더보기,055-746-3395,https://www.instagram.com/songdo_ribs,"단체 이용 가능, 포장, 예약, 남/녀 화장실 구분, 무선 인터넷, 유아의자, 대기공간, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231110_253%2F1699596518955mkVOI_JPEG%2FIMG_1208.jpeg,월11:00 - 22:00,화11:00 - 22:00,수11:00 - 22:00,목11:00 - 22:00,금11:00 - 22:00,토11:00 - 22:00,일정기휴무 (매주 일요일),35.16395,128.1136069
박가네돼지순대국밥,국밥,경남 진주시 가호로 71,,055-755-8222,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190821_196%2F1566381664590uEkWD_JPEG%2FIzG6Pb-BwLmqzJav4p5rCiJZ.jpg,,,,,,,,35.164474,128.1140459
이온 촌놈집,돼지고기구이,경남 진주시 가호로 73 호탄동 이온촌놈집,찾아가는길호탄동 대경빌라트  부근에 위치해 있습니다.,055-753-8424,https://www.instagram.com/jinju_ionchon/,"예약, 단체 이용 가능, 무선 인터넷, 포장, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_231%2F1441036118907iQf0c_JPEG%2FSUBMIT_1399525556752_32724118.jpg,월정보없음,화정보없음,수정보없음,목정보없음,금정보없음,토정보없음,일정기휴무 (매주 일요일),35.1644954,128.1142354
소림마라 경남진주점,마라탕,경남 진주시 가호로 77 1층,,070-8994-5838,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240614_179%2F17183470771732y0nJ_JPEG%2FKakaoTalk_20240521_173958455_01.jpg,매일10:00 - 22:00,,,,,,,35.1645409,128.1146391
김밥도시 진주1호점,김밥,경남 진주시 가호로 78-1,,055-753-8265,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190821_19%2F1566381818400IV0OR_JPEG%2F4NOehpaxNkVWP7xf9uC2sgol.jpg,,,,,,,,35.1641017,128.1146108
1980밀면회관,국수,경남 진주시 호탄길27번길 16,,,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDExMTJfMTAx%2FMDAxNzMxMzY5MTk3MDAw.ZFNrayoB68XXQ03n9_fuKBjxjeA2uL1PyTnX31wcjwMg.czxrvGHH2EmlF2fc_MLqENK3XEP6TFeMUc-psvt8fb4g.JPEG%2F1000023206.jpg.jpg%3Ftype%3Dw1500_60_sharpen,,,,,,,,35.1639683,128.1146216
효돈식당,한식,경남 진주시 가호로 80-1 1층,,0507-1352-1793,,"주차, 남/녀 화장실 구분, 단체 이용 가능",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221018_13%2F1666037730577uHUoA_JPEG%2FA7416062-A438-4167-A992-2224721626CE.jpeg,"월10:00 - 22:00
15:00 - 17:00 브레이크타임",화정기휴무 (매주 화요일),"수10:00 - 22:00
15:00 - 17:00 브레이크타임","목10:00 - 22:00
15:00 - 17:00 브레이크타임","금10:00 - 22:00
15:00 - 17:00 브레이크타임","토10:00 - 22:00
15:00 - 17:00 브레이크타임","일10:00 - 22:00
15:00 - 17:00 브레이크타임",35.1640976,128.1147813
소림타운 진주점,중식당,경남 진주시 호탄길27번길 13,,0507-1381-5838,,"포장, 배달, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210508_204%2F1620461187899MabIi_JPEG%2FnGwspIlZ4IzjC6apUU0uo7No.jpg,매일10:00 - 21:40,,,,,,,35.1637886,128.1148056
열정국밥,국밥,경남 진주시 호탄길27번길 15 1층 101호,,055-753-8500,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221031_247%2F1667201229577b20PI_JPEG%2Fimage.jpg,,,,,,,,35.1637884,128.1146387
카코이,이자카야,경남 진주시 호탄길21번길 14-2,,,https://www.instagram.com/kakkoii_jinju,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDExMjdfMjIw%2FMDAxNzMyNjk2Njk3MTMx.mJ9eycs4V9YyzSSggmqUTFqGcay-PQ3ghllXM9xc4mgg.mz3OvglOpNo0ZCnZhU6N_ZJ4L2pEhURrLGkau7Gl9SAg.JPEG%2FIMG_5745.jpg,월정기휴무 (매주 월요일),"화19:00 - 01:00
00:00 라스트오더","수19:00 - 01:00
00:00 라스트오더","목19:00 - 01:00
00:00 라스트오더","금19:00 - 02:00
01:00 라스트오더","토19:00 - 02:00
01:00 라스트오더","일19:00 - 01:00
00:00 라스트오더",35.1636484,128.1148159
대한회관,"육류,고기요리",경남 진주시 가호로 82 1층,찾아가는길진주시 호탄동 대경빌라트 정문앞,055-920-0659,,"단체 이용 가능, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDAxMDdfMTU3%2FMDAxNzA0NjIyNDk2MzQ3.dKtSnFAv88LqYanWGk0E1eDbfJwxUXlxD5oO4rtlD7Yg.eAlDBHH84sjMatw0J6GhC_UmA6VTIZXE_YHII0Q8Au0g.JPEG%2F20240106_203608.jpg.jpg%3Ftype%3Dw1500_60_sharpen,월정기휴무 (매주 월요일),화17:00 - 23:00,수17:00 - 23:00,목17:00 - 23:00,금17:00 - 23:00,토17:00 - 23:00,일정기휴무 (매주 일요일),35.1642726,128.1150002
참붕어 어탕,한식,경남 진주시 호탄길27번길 11,찾아가는길호탄동 대경아파트 맞은편쪽 골목으로 1블럭만 들어오면 됩니다. 주차는 골목 여유공간을 활용하시면 됩니다.,0507-1383-8446,,"무선 인터넷, 포장",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181222_160%2F1545468249980ekf65_JPEG%2FDC8HK-CGDEai2j3enspw4w5v.jpg,월10:00 - 21:00,화10:00 - 21:00,수10:00 - 21:00,목10:00 - 21:00,금10:00 - 21:00,토10:00 - 22:00,일정기휴무 (매주 일요일),35.163794,128.1150111
호식이두마리치킨 호탄점,"치킨,닭강정",경남 진주시 호탄길21번길 12-2 1층,,055-755-9233,http://hosigi9922.com,"배달, 포장",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210730_179%2F16276117800989nT7b_JPEG%2FShSeZ8y1sSCv9N6S5vyZjqwP.jpg,매일11:00 - 01:00,,,,,,,35.1636333,128.1150202
불타는 연탄집,한식,경남 진주시 호탄길21번길 14,,055-758-9454,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230521_246%2F1684597704280nRj3G_JPEG%2F20161203_211459.jpg,월17:00 - 05:00,화17:00 - 05:00,수17:00 - 05:00,목17:00 - 05:00,금17:00 - 05:00,토17:00 - 05:00,일17:00 - 24:00,35.1634139,128.1148298
제주오겹살,한식,경남 진주시 호탄길21번길 12-1,,055-755-3646,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA1MDNfMjM1%2FMDAxNjgzMTAxMDQyNDEw.3U_zKbyqyoha1_3TNa_DZopWzGyWDKuEjQmwhstUQHIg.-nLH67HZQYhx83fC9IAtFarQ2M2CxbPZwJqlJbwCzoQg.JPEG.darkdorik%2FKakaoTalk_20230503_090743367.jpg,,,,,,,,35.1635,128.1150288
인생육회차,"육류,고기요리",경남 진주시 호탄길21번길 12-2 . 1층,,0507-1443-5222,,"포장, 배달, 방문접수/출장",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230216_166%2F1676512438961bOGp9_JPEG%2FKakaoTalk_20230216_104208261.jpg,매일10:30 - 02:30,,,,,,,35.1636333,128.1150202
왔따쪽갈비 진주점,"육류,고기요리",경남 진주시 호탄길21번길 10-1,,070-4383-7749,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211223_50%2F1640250459174NDCvJ_JPEG%2F20211220_161400.jpg,,,,,,,,35.1635652,128.1151949
인정후라이드 가호점,"치킨,닭강정",경남 진주시 호탄길21번길 10-1 1층,,0507-1351-5563,https://www.instagram.com/injung_friedchicken,"포장, 배달, 단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240318_114%2F17107508552628x9wQ_JPEG%2F%25C0%25CE%25C1%25A4_%25B7%25CE%25B0%25ED1.jpg,매일16:00 - 01:00,,,,,,,35.1635652,128.1151949
신화불닭발 가호점,야식,경남 진주시 호탄길21번길 10-1,,055-920-5454,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191211_211%2F1576063163615vlGST_JPEG%2FyGF4BQvkGdmX4_iMLCElfXnx.jpg,매일17:00 - 01:00,,,,,,,35.1635652,128.1151949
처갓집양념치킨 가호점,"치킨,닭강정",경남 진주시 호탄길21번길 10-2,,055-762-9797,https://www.cheogajip.co.kr/,"포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200120_298%2F1579504110347tJgty_JPEG%2FC_lo6OmP2LbyOHVZh-W2FOtu.jpg,매일12:00 - 23:55,,,,,,,35.1634053,128.115132
모티집,한식,경남 진주시 호탄길21번길 10 . 1층일부,찾아가는길Gs25 호탄원룸점 맞은편입니다,,,"예약, 단체 이용 가능",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241015_190%2F1728980820976ycGJJ_JPEG%2Fimage.jpg,"월17:00 - 24:00
23:00 라스트오더","화17:00 - 24:00
23:00 라스트오더","수17:00 - 24:00
23:00 라스트오더","목17:00 - 24:00
23:00 라스트오더","금17:00 - 24:00
23:00 라스트오더","토17:00 - 24:00
23:00 라스트오더",일정기휴무 (매주 일요일),35.1634124,128.1152427
청년피자 진주점,피자,경남 진주시 가호로 86,,0507-1308-9986,http://youngmanpizza.co.kr/,"포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240722_206%2F1721632670486aSFAA_JPEG%2F%25C3%25BB%25B3%25E2%25C7%25C7%25C0%25DA_%25B3%25D7%25C0%25CC%25B9%25F6_%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25BD%25E6%25B3%25D7%25C0%25CF.jpg,월정기휴무 (매주 월요일),화11:00 - 23:30,수11:00 - 23:30,목11:00 - 23:30,금11:00 - 23:30,토11:00 - 23:30,일11:00 - 23:30,35.1643222,128.1154159
명인칼국수만두,한식,경남 진주시 호탄길27번길 6,찾아가는길1층 (호탄동),0507-1468-1252,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDExMTlfMjU3%2FMDAxNzMxOTk2OTIwNzI4.m9ssWX0k1lIPcbWcpEALmqbHYyjgh23HeUFRHjvzf1Yg.CkjNDGOvpJeIutW1edyU25p0aNS0J7kQ-HWSCXWAVpQg.JPEG%2FIMG_8477.jpg,,,,,,,,35.1639948,128.1155982
밥꼬찜닭 진주호탄DV점,찜닭,경남 진주시 호탄길27번길 4-1 1층,,050-7780-6904,,"포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210928_234%2F16327986031704CFK1_JPEG%2Fs4KQz02JVGLTMpstvUtydblY.jpg,매일11:00 - 24:00,,,,,,,35.1642122,128.1157977
엄마추어탕,추어탕,경남 진주시 호탄길 31,,,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA4MDNfNyAg%2FMDAxNjkxMDMxNTc4ODYw.-9qcUhsMeztO52zlTp7urHqQ5xFkOGymnPqBph5iZXAg.s-iUmW1240zX0boKtl-9g86cfemDRMiINANpZzG1Vjwg.JPEG%2F20230717_125808.jpg%3Ftype%3Dw1500_60_sharpen,,,,,,,,35.1642596,128.115969
참장어가,"장어,먹장어요리",경남 진주시 가호로 94-2,,055-761-8895,,"예약, 단체 이용 가능, 포장",https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzEwMDlfMjk2%2FMDAxNjk2ODQ2NDMxNzkx._uJfPPy_q9zecp_ARdQKUu-ajOyvxxWwDPtDPTIMxbEg.BaLiJaMHx5-FIF5uj6WlHJZpbxiyk3srpPZcIzKyQ74g.JPEG%2F35CAC731-33FE-450E-8DD4-26F5CA51AF8A.jpeg%3Ftype%3Dw1500_60_sharpen,,,,,,,,35.164868,128.1162849
카페드무위,"카페,디저트",경남 진주시 호탄길28번길 1 1층 카페드무위,찾아가는길호탄동 만성각 맞은편 호탄식육식당 바로옆내용 더보기,0507-1349-9142,https://www.instagram.com/muwee__?igsh=MW9jNWt6ZzV0MjB4NQ==,"포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240921_190%2F1726887671083P5TAL_JPEG%2FIMG_1819.jpeg,월정기휴무 (매주 월요일),"화11:00 - 21:00
20:30 라스트오더","수11:00 - 21:00
20:30 라스트오더","목11:00 - 21:00
20:30 라스트오더","금11:00 - 21:00
20:30 라스트오더","토11:00 - 21:00
20:30 라스트오더","일11:00 - 21:00
20:30 라스트오더",35.1640316,128.1163548
황포냉면,냉면,경남 진주시 호탄길34번길 10,,055-762-7433,,주차,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240402_210%2F1712062889756oSrSf_JPEG%2FKakaoTalk_20240402_171839859_01.jpg,"월10:30 - 14:30
14:00 라스트오더","화10:30 - 14:30
14:00 라스트오더","수10:30 - 14:30
14:00 라스트오더","목10:30 - 14:30
14:00 라스트오더","금10:30 - 14:30
14:00 라스트오더","토10:30 - 15:00
14:30 라스트오더","일10:30 - 15:00
14:30 라스트오더",35.1643438,128.1172397
옆구리 가호점,"육류,고기요리",경남 진주시 호탄길21번길 8 1층 옆구리 가호점,"찾아가는길진주 남강 워터피아에서 도보 2분, 호탄동삼성아파트 도보 5분, 대동디지털황토아파트 도보 6분, 범골이야기어린이공원 도보 2분 네이버 네비게이션에 '옆구리 가호점' 을 검색하시면 더욱더 편리하게 이용이 가능합니다.내용 더보기",0507-1339-7618,https://www.instagram.com/yeopguri_jinju,"단체 이용 가능, 예약, 무선 인터넷, 유아의자, 대기공간, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240908_293%2F1725789367225uA4hs_PNG%2F1000002880.png,"월16:00 - 24:00
23:00 라스트오더","화16:00 - 24:00
23:00 라스트오더","수16:00 - 24:00
23:00 라스트오더","목16:00 - 24:00
23:00 라스트오더","금16:00 - 24:00
23:00 라스트오더","토16:00 - 24:00
23:00 라스트오더","일16:00 - 24:00
23:00 라스트오더",35.1634436,128.1154712
교촌치킨 가호점,"치킨,닭강정",경남 진주시 호탄길21번길 6,"찾아가는길연암대 사거리 지나 시내버스 정류장 근처, 경상대쪽에 위치.",055-761-0226,https://m.kyochon.com/,"포장, 배달, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221130_290%2F1669782289053g3gih_JPEG%2F%25B1%25B3%25C3%25CC%25C4%25A1%25C5%25B2_%25BD%25C5%25B1%25D4_BI_%25BE%25C6%25C0%25CC%25C4%25DC%2528%25C4%25AB%25C4%25AB%25BF%25C0%2529.jpg,매일12:00 - 00:30,,,,,,,35.1634809,128.1156297
만성각,중식당,경남 진주시 호탄길 25,찾아가는길미니스탑 옆쪽에 위치해 있습니다.,055-757-4098,https://www.instagram.com/manseonggak_jinju,"포장, 배달, 단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_12%2F1441063654009bKYgu_PNG%2FSUBMIT_1422947076961_15524783.png,"월(3/3)대체공휴일(삼일절)09:30 - 21:00
16:00 - 17:00 브레이크타임",화(3/4)정기휴무 (격주 화요일),"수09:30 - 21:00
16:00 - 17:00 브레이크타임
20:50 라스트오더","목09:30 - 21:00
16:00 - 17:00 브레이크타임
20:50 라스트오더","금09:30 - 21:00
16:00 - 17:00 브레이크타임
20:50 라스트오더","토09:30 - 21:00
16:00 - 17:00 브레이크타임
20:50 라스트오더","일09:30 - 21:00
16:00 - 17:00 브레이크타임
20:50 라스트오더",35.1637908,128.1160026
여민촌해물마차,포장마차,경남 진주시 호탄길 23,,055-753-0740,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMDZfMTU2%2FMDAxNzM2MDkzNDk2ODY3.3Y_ncElTBu1gPki7VROeY3UMWuEHh0-82P5UfmU4vskg.x0DUt77TLQRbGlNhYNoI1G3W-xg2ky7WSoMT67yOnQkg.JPEG%2FIMG_0248.JPG,매일16:00 - 24:00,,,,,,,35.1636277,128.1160143
호탄식육식당,돼지고기구이,경남 진주시 호탄길 28,,0507-1446-8555,http://instagram.com/hotanpork,"단체 이용 가능, 예약, 남/녀 화장실 구분, 주차, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210531_131%2F1622436436000WFvGG_JPEG%2F7W4y3tHexcXf1XQtxOKn11Cu.jpg,매일11:30 - 22:00,,,,,,,35.1638379,128.1163742
봄브,"카페,디저트",경남 진주시 호탄길22번길 5 1층,,0507-1408-2520,,"무선 인터넷, 포장",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220625_210%2F1656146470958xdiUd_JPEG%2FAE34EF5A-C6EE-412A-8DE8-5A63C6710B7C.jpeg,"월11:00 - 19:30
19:00 라스트오더","화11:00 - 19:30
19:00 라스트오더","수11:00 - 19:30
19:00 라스트오더","목11:00 - 19:30
19:00 라스트오더","금11:00 - 19:30
19:00 라스트오더","토11:00 - 19:00
18:30 라스트오더",일정기휴무 (매주 일요일),35.1634762,128.1168356
숯불과닭발,"육류,고기요리",경남 진주시 호탄길22번길 7,,055-761-3804,,"예약, 무선 인터넷, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230129_265%2F1674982539651aTeI5_JPEG%2F1674982512127.jpg,매일17:00 - 22:00,,,,,,,35.1635453,128.1169911
베럴댄하우스,"카페,디저트",경남 진주시 호탄길22번길 11 1층,,,https://www.instagram.com/better_than_haus,"포장, 배달, 예약, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241030_133%2F1730255800148VqgsE_JPEG%2FKakaoTalk_20241029_124831021_08.jpg,월정기휴무 (매주 월요일),"화10:30 - 20:30
20:00 라스트오더","수10:30 - 20:30
20:00 라스트오더","목10:30 - 20:30
20:00 라스트오더","금10:30 - 20:30
20:00 라스트오더","토10:30 - 20:30
20:00 라스트오더","일10:30 - 20:30
20:00 라스트오더",35.1635183,128.1173719
까망돈쟁이보쌈,한식,경남 진주시 호탄길21번길 22 1층,,055-759-0110,,"단체 이용 가능, 예약, 포장, 남/녀 화장실 구분, 유아의자, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230917_237%2F1694931998052mUjNA_JPEG%2F1000001661.jpg,월10:00 - 22:00,화10:00 - 22:00,수10:00 - 22:00,목10:00 - 22:00,금10:00 - 22:00,토11:00 - 22:00,일11:00 - 22:00,35.1634123,128.1139257
우리돼지나라 진주본점,국밥,경남 진주시 호탄길21번길 20,,055-746-1020,,"단체 이용 가능, 포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210204_30%2F16124365893450XNWy_JPEG%2FvoXNnGSTnS_Mhf6V_98Zp98z.jpeg.jpg,월09:00 - 21:00,화09:00 - 21:00,수09:00 - 21:00,목09:00 - 21:00,금09:00 - 21:00,토09:00 - 21:00,일09:00 - 21:00,35.1634428,128.1142238
메차쿠차 호탄점,돈가스,경남 진주시 호탄길21번길 21-1,,055-752-6167,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190821_194%2F1566383021657wKmsG_JPEG%2FZcqY2ClLpTHwKiTykIg4oEOK.jpg,매일11:00 - 20:30,,,,,,,35.1630954,128.1139052
브로이하우스호탄점,"맥주,호프",경남 진주시 호탄길21번길 19,,055-762-2595,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190821_147%2F1566383078732nk4Hr_JPEG%2FT9K46ftbwLg-rGdcfmiBMLNZ.jpg,,,,,,,,35.1631093,128.1141628
